time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,delta_thrust,roll_torque,pitch_torque,yaw_torque,f0,f1,f2,f3,target_x,target_y,target_z,distance
4.3499999999999925,2.6818063231396114,-2.0572052265469,0.9970736511724964,-1.453935107462776,-2.36615506230327,-0.02999410496833388,-0.1511851603170328,-0.19941717547943533,-0.07024426233070427,-0.1755378938478493,0.08909171501765231,0.003794805271948459,1.0072381044108958,0.03046941893472217,0.06394575666282074,0.013224264078198347,8.973273314975103,9.471775882882053,9.230783605191245,8.745505301362492,-2.2480990913774614,-2.3026691357197606,1.4349999999999992,4.955401034607447
4.399999999999992,2.6040577671643734,-2.171886668571384,0.9954873259192217,-1.55497111950476,-2.2936288404896743,-0.03172650506549246,-0.15953600197412326,-0.19389782978608056,-0.07170387809386301,-0.17122326558073622,0.09847677722025557,0.0038633454334994215,1.0236006200830277,0.03264029115011331,0.06243661726727995,0.013499778650900655,8.991448956061237,9.478480516673457,9.220651464654825,8.747119682693508,-2.3435422327328346,-2.19371660447011,1.4399999999999993,4.96757625230883
4.449999999999992,2.5213864655260254,-2.2827290425505575,0.9938199042541799,-1.6534260327669603,-2.2168474795834747,-0.033348433300837144,-0.16760040546669028,-0.18792634730892258,-0.07306016580166158,-0.16659122830055717,0.10764827557746376,0.003928012909992234,1.0399566945961172,0.03478229135821678,0.06081134995509414,0.013755720282881545,9.009963479744165,9.48462095492479,9.21018700741245,8.749285252514706,-2.4337617139825443,-2.0808633631427744,1.4449999999999992,4.979739622932816
4.499999999999992,2.4339330825453933,-2.3895258164086357,0.9920776918999965,-1.749067659612642,-2.1359354771615635,-0.0348442470836674,-0.17536302773329604,-0.18151692362282323,-0.0743100905002579,-0.16164640918266365,0.11658947453494908,0.003988620169173653,1.0562704719841787,0.03690013031057889,0.059068209784513284,0.013991519269187975,9.028832894048229,9.49019949817908,9.199356582309264,8.751981497447602,-2.518600818242711,-1.9643574889249484,1.4499999999999993,4.991798572198837
4.549999999999992,2.3418496025629953,-2.4920770973957325,0.9902677250398709,-1.8416695996479593,-2.051025619741935,-0.03619933720251156,-0.18280917701419416,-0.1746845760330335,-0.07545151090936922,-0.1563926743011311,0.12528337155527836,0.0040450013273200264,1.0725064815867242,0.03899721232635387,0.05720578869005326,0.014206776022739733,9.048066940376765,9.495214856773162,9.188132912405225,8.755191772031568,-2.5979145100269854,-1.8444532213539344,1.4549999999999992,5.003664882887431
4.599999999999992,2.2452990177357903,-2.590190041813328,0.9883977133189261,-1.9310116965441004,-1.9622588883519132,-0.03740023441889617,-0.18992476628049113,-0.16744513642116376,-0.07648318302845121,-0.1508333069175277,0.1337127396153692,0.004097013765170285,1.0886299056951854,0.041075487361111385,0.05522311003980298,0.014401261653234156,9.067668227630906,9.499662012609852,9.17649609439007,8.758903571064357,-2.6715696708036485,-1.721410416534334,1.459999999999999,5.015255173412642
4.6499999999999915,2.1444549922516054,-2.683679260596021,0.9864759785101975,-2.0168805096836984,-1.8697843756538557,-0.03843469617457185,-0.19669627090108346,-0.1598152421126338,-0.0774047601101588,-0.1449712097212375,0.14186018387820873,0.004144539978076894,1.1046068226921744,0.04313534173368472,0.05311971509373428,0.014574917831860788,9.087631540214888,9.503532192159541,9.16443441221527,8.763108678102475,-2.739445309236048,-1.5954939926990879,1.4649999999999992,5.026491278345351
4.699999999999991,2.0395015023111394,-2.7723672210383903,0.9845113899036231,-2.099069798809321,-1.7737592088473875,-0.03929177213148893,-0.20311069183939642,-0.15181232417190768,-0.07821678921862824,-0.13880912549376803,0.14970821146922025,0.004187489617384941,1.1204044218014795,0.045175528177842234,0.05089573994322768,0.014727855986632244,9.107943326971458,9.506812946835758,9.151944955935964,8.767803192058299,-2.801432745806732,-1.4669733682807526,1.469999999999999,5.037300536592123
4.749999999999991,1.9306324513491346,-2.856084644646557,0.9825132975121169,-2.1773810192400944,-1.6743484721633362,-0.039961847830123354,-0.20915552544102559,-0.14345459261348165,-0.07892070444218297,-0.13234987051041186,0.15723931306243663,0.004225801666158397,1.1359911864185646,0.04719313503575143,0.04855198183530824,0.01486035584570163,9.128581373798767,9.509488335070142,9.139034041487665,8.772987436061989,-2.8574357715790266,-1.3361218936687262,1.4749999999999992,5.047615994100772
4.799999999999991,1.8180512601159435,-2.9346709007730847,0.9804914641950977,-2.251623824663822,-1.5717251225305517,-0.04043666634038434,-0.2148187406457274,-0.1347610181125833,-0.07951881669207013,-0.125596574963652,0.16443605480123846,0.004259446680383396,1.151337043930034,0.04918359366708096,0.04608995412272371,0.014972863320377219,9.149514658784556,9.511539199081083,9.12571743152027,8.778665754544123,-2.907370780903412,-1.2032162778350979,1.479999999999999,5.057376528832593
4.849999999999991,1.7019704314148019,-3.0079743953698292,0.9784559977766424,-2.3216165740228334,-1.4660698919348913,-0.040709328369106235,-0.2200887642385591,-0.125751309904423,-0.08001429989645123,-0.11855292478021488,0.1712811789463638,0.004288429017366386,1.166413480922555,0.05114072251459632,0.04351192941468507,0.015065987696701399,9.1707033852292,9.512943528421282,9.112020361383728,8.784846205888346,-2.9511668779298152,-1.068536011016267,1.484999999999999,5.06652690632422
4.899999999999991,1.582611089484708,-3.0758529538741386,0.9764172841835808,-2.3871868386018757,-1.357571170086187,-0.0407742718612325,-0.22495447454923814,-0.11644588966916694,-0.08041117329658824,-0.11122339938833756,0.17775771156003786,0.004312788965254212,1.1811936236952376,0.053056805739658576,0.040820970816618146,0.015140498085365238,9.192099184952623,9.513676901815446,9.097977377852311,8.791540159074854,-2.9887659568406857,-0.9323627846395655,1.489999999999999,5.075017774477376
4.94999999999999,1.4602024942294838,-3.138174196937093,0.974385922550176,-2.448171905104486,-1.24642486125909,-0.04062723266809565,-0.22940520381845525,-0.10686586130618755,-0.08071427947324297,-0.10361350026262568,0.18384907549896856,0.0043326046827138025,1.1956522849907691,0.054922703915813054,0.03802095142470622,0.015197319064915353,9.213645481831874,9.513712998477457,9.083632001131052,8.798761803550386,-3.02012275577338,-0.7949799096837386,1.494999999999999,5.0828056062836895
4.99999999999999,1.3349815307156567,-3.194815907415106,0.9723726631332579,-2.504419270276541,-1.1328342095602562,-0.04026518833836201,-0.2334307492758373,-0.09703297660079331,-0.08092925767788649,-0.09572996541179302,0.18953920699498372,0.004347993855931821,1.2097659788154322,0.056727993931459636,0.03511656247379528,0.015237525443081915,9.235278003564872,9.513024169930993,9.069036223121302,8.806527582198264,-3.045204884453836,-0.6566717346594435,1.4999999999999991,5.0898525990384025
5.04999999999999,1.207192174590585,-3.2456663867841966,0.9703883487582768,-2.555787122501436,-1.0170095873818141,-0.039686287499620665,-0.2370213928163015,-0.08696959687536215,-0.08106251201657373,-0.08758096536811671,0.19481267414462058,0.004359114981187937,1.0998877246334133,-0.05456378612640094,0.7010183127266478,0.015262336055843479,6.218596351555742,11.618676079019416,12.030766342733042,6.64594895132521,0.0,0.0,1.5,3.5031631052271193
